region,ym,d,minTemp,maxTemp,weather
강원,200210,1,15.0,24.0,구름조금/소나기/천둥
강원,200210,2,14.0,23.0,맑음
강원,200210,3,12.0,25.0,맑음/소나기/뇌전/천둥
강원,200210,4,13.0,22.0,맑음
강원,200210,5,13.0,23.0,구름조금/비/소나기/뇌전/천둥
강원,200210,6,14.0,20.0,흐림/비
강원,200210,7,13.0,20.0,맑음
강원,200210,8,10.0,18.0,맑음
강원,200210,9,10.0,19.0,맑음
강원,200210,10,10.0,20.0,구름조금
강원,200210,11,12.0,23.0,구름조금
강원,200210,12,14.0,24.0,구름많음
강원,200210,13,14.0,26.0,구름조금
강원,200210,14,14.0,26.0,구름조금
강원,200210,15,12.0,20.0,구름조금/비
강원,200210,16,12.0,26.0,맑음
강원,200210,17,14.0,22.0,구름조금
강원,200210,18,13.0,20.0,흐림/비
강원,200210,19,12.0,15.0,흐림/비
강원,200210,20,11.0,13.0,흐림/비
강원,200210,21,9.0,15.0,구름많음/비
강원,200210,22,5.0,11.0,구름조금
강원,200210,23,4.0,11.0,구름조금
강원,200210,24,4.0,14.0,구름조금
강원,200210,25,8.0,17.0,구름조금
강원,200210,26,7.0,14.0,구름조금/비
강원,200210,27,3.0,10.0,맑음
강원,200210,28,2.0,10.0,맑음
강원,200210,29,2.0,11.0,맑음
강원,200210,30,4.0,15.0,구름조금
강원,200210,31,5.0,21.0,구름많음
강원,200211,1,4.0,14.0,맑음
강원,200211,2,2.0,12.0,맑음
강원,200211,3,3.0,11.0,구름조금
강원,200211,4,1.0,8.0,맑음
강원,200211,5,0.0,8.0,맑음
강원,200211,6,1.0,13.0,맑음
강원,200211,7,5.0,19.0,구름많음/비
강원,200211,8,3.0,11.0,구름조금/안개
강원,200211,9,0.0,9.0,맑음
강원,200211,10,5.0,14.0,구름조금
강원,200211,11,11.0,21.0,구름조금/황사
강원,200211,12,5.0,12.0,맑음
강원,200211,13,1.0,7.0,맑음
강원,200211,14,-1.0,9.0,구름조금
강원,200211,15,0.0,9.0,구름조금
강원,200211,16,0.0,8.0,맑음
강원,200211,17,0.0,13.0,구름조금
강원,200211,18,-1.0,7.0,맑음
강원,200211,19,0.0,11.0,구름조금
강원,200211,20,4.0,10.0,흐림/안개
강원,200211,21,2.0,8.0,구름많음
강원,200211,22,0.0,11.0,맑음
강원,200211,23,5.0,16.0,맑음
강원,200211,24,6.0,12.0,구름많음
강원,200211,25,3.0,8.0,구름많음
강원,200211,26,2.0,9.0,구름조금
강원,200211,27,-2.0,6.0,맑음
강원,200211,28,1.0,10.0,구름조금
강원,200211,29,8.0,13.0,구름많음
강원,200211,30,2.0,11.0,맑음
강원,200212,1,3.0,12.0,맑음
강원,200212,2,3.0,11.0,구름조금
강원,200212,3,2.0,14.0,구름많음
강원,200212,4,7.0,16.0,구름많음
강원,200212,5,4.0,13.0,흐림/비
강원,200212,6,4.0,7.0,흐림/비
강원,200212,7,2.0,6.0,흐림/우박/눈
강원,200212,8,1.0,3.0,흐림/눈
강원,200212,9,-6.0,2.0,구름많음/눈
강원,200212,10,-8.0,-2.0,맑음
강원,200212,11,-6.0,0.0,맑음
강원,200212,12,-5.0,3.0,맑음
강원,200212,13,-6.0,3.0,맑음
강원,200212,14,-5.0,10.0,맑음
강원,200212,15,4.0,9.0,흐림
강원,200212,16,3.0,9.0,흐림/안개/비
강원,200212,17,2.0,9.0,구름많음/비
강원,200212,18,3.0,10.0,구름조금
강원,200212,19,1.0,8.0,구름많음
강원,200212,20,1.0,8.0,구름많음/안개
강원,200212,21,2.0,5.0,흐림/비
강원,200212,22,2.0,4.0,흐림/비
강원,200212,23,3.0,4.0,흐림/비
강원,200212,24,2.0,3.0,흐림/진눈개비
강원,200212,25,-5.0,3.0,구름많음/눈
강원,200212,26,-5.0,1.0,맑음
강원,200212,27,-6.0,3.0,맑음
강원,200212,28,-2.0,5.0,맑음
강원,200212,29,-3.0,5.0,맑음
강원,200212,30,-1.0,5.0,맑음
강원,200212,31,-4.0,3.0,구름조금
강원,200301,1,-4.0,3.0,맑음
강원,200301,2,-7.0,4.0,구름조금
강원,200301,3,-4.0,4.0,구름조금
강원,200301,4,-10.0,-4.0,맑음
강원,200301,5,-14.0,-5.0,맑음
강원,200301,6,-11.0,0.0,맑음
강원,200301,7,-6.0,2.0,맑음
강원,200301,8,-4.0,7.0,맑음
강원,200301,9,0.0,6.0,구름조금
강원,200301,10,-1.0,6.0,구름조금/안개
강원,200301,11,0.0,8.0,맑음
강원,200301,12,2.0,9.0,맑음
강원,200301,13,6.0,10.0,구름많음/안개
강원,200301,14,-4.0,8.0,흐림/눈
강원,200301,15,-6.0,3.0,맑음
강원,200301,16,-1.0,7.0,구름조금
강원,200301,17,1.0,8.0,흐림/눈
강원,200301,18,1.0,6.0,흐림/안개/눈
강원,200301,19,-1.0,6.0,구름많음
강원,200301,20,-1.0,5.0,구름많음
